id,key,created_ts,type,size
48,fullexports/dsire-2017-05.xml,"2017-05-01 00:00:33",xml,84670936
49,fullexports/dsire-2017-05.zip,"2017-05-01 00:15:18",csv,4893901
50,fullexports/dsire-2017-06.xml,"2017-06-01 00:00:36",xml,85382559
51,fullexports/dsire-2017-06.zip,"2017-06-01 00:15:18",csv,4939999
52,fullexports/dsire-2017-07.xml,"2017-07-01 00:01:20",xml,85383569
53,fullexports/dsire-2017-07.zip,"2017-07-01 00:15:19",csv,4941507
54,fullexports/dsire-2017-08.xml,"2017-08-01 00:00:33",xml,85382068
55,fullexports/dsire-2017-08.zip,"2017-08-01 00:15:24",csv,4941735
56,fullexports/dsire-2017-09.xml,"2017-09-01 00:00:36",xml,85438038
57,fullexports/dsire-2017-09.zip,"2017-09-01 00:15:19",csv,4939636
58,fullexports/dsire-2017-10.xml,"2017-10-01 00:00:32",xml,85466673
59,fullexports/dsire-2017-10.zip,"2017-10-01 00:15:18",csv,4942842
