id,name,state_id
1092,"Shelby County",21
1093,"Nelson County",21
1094,"Trimble County",21
1095,"Henry County",21
1096,"Marion County",21
1097,"Oldham County",21
1098,"Jefferson County",21
1099,"Spencer County",21
1100,"Washington County",21
1101,"Bullitt County",21
1102,"Meade County",21
1103,"Breckinridge County",21
1104,"Grayson County",21
1105,"Hardin County",21
1106,"Mercer County",21
1107,"Nicholas County",21
1108,"Powell County",21
1109,"Rowan County",21
1110,"Menifee County",21
1111,"Scott County",21
1112,"Bath County",21
1113,"Estill County",21
1114,"Montgomery County",21
1115,"Jessamine County",21
1116,"Anderson County",21
1117,"Woodford County",21
1118,"Bourbon County",21
1119,"Owen County",21
1120,"Madison County",21
1121,"Clark County",21
1122,"Jackson County",21
1123,"Rockcastle County",21
1124,"Garrard County",21
1125,"Lincoln County",21
1126,"Boyle County",21
1127,"Casey County",21
1128,"Fayette County",21
1129,"Franklin County",21
1130,"Whitley County",21
1131,"Laurel County",21
1132,"Knox County",21
1133,"Harlan County",21
1134,"Leslie County",21
1135,"Bell County",21
1136,"Letcher County",21
1137,"Perry County",21
1138,"Clay County",21
1139,"Campbell County",21
1140,"Bracken County",21
1141,"Harrison County",21
1142,"Boone County",21
1143,"Pendleton County",21
1144,"Carroll County",21
1145,"Grant County",21
1146,"Kenton County",21
1147,"Mason County",21
1148,"Fleming County",21
1149,"Gallatin County",21
1150,"Robertson County",21
1151,"Boyd County",21
1152,"Greenup County",21
1153,"Lawrence County",21
1154,"Carter County",21
1155,"Lewis County",21
1156,"Elliott County",21
1157,"Martin County",21
1158,"Johnson County",21
1159,"Floyd County",21
1160,"Wolfe County",21
1161,"Lee County",21
1162,"Breathitt County",21
1163,"Owsley County",21
1164,"Morgan County",21
1165,"Magoffin County",21
1166,"Pike County",21
1167,"Knott County",21
1168,"McCracken County",21
1169,"Calloway County",21
1170,"Carlisle County",21
1171,"Ballard County",21
1172,"Marshall County",21
1173,"Graves County",21
1174,"Livingston County",21
1175,"Hickman County",21
1176,"Crittenden County",21
1177,"Lyon County",21
1178,"Fulton County",21
1179,"Warren County",21
1180,"Allen County",21
1181,"Barren County",21
1182,"Metcalfe County",21
1183,"Monroe County",21
1184,"Simpson County",21
1185,"Edmonson County",21
1186,"Butler County",21
1187,"Logan County",21
1188,"Todd County",21
1189,"Trigg County",21
1190,"Christian County",21
1191,"Daviess County",21
1192,"Ohio County",21
1193,"Muhlenberg County",21
1194,"McLean County",21
1195,"Henderson County",21
1196,"Hancock County",21
1197,"Webster County",21
1198,"Hopkins County",21
1199,"Caldwell County",21
1200,"Union County",21
1201,"Pulaski County",21
1202,"Clinton County",21
1203,"Russell County",21
1204,"McCreary County",21
1205,"Wayne County",21
1206,"Hart County",21
1207,"Adair County",21
1208,"Larue County",21
1209,"Cumberland County",21
1210,"Taylor County",21
1211,"Green County",21
1212,"Licking County",40
1213,"Franklin County",40
1214,"Delaware County",40
1215,"Knox County",40
1216,"Coshocton County",40
1217,"Union County",40
1218,"Champaign County",40
1219,"Clark County",40
1220,"Fairfield County",40
1221,"Perry County",40
1222,"Ross County",40
1223,"Pickaway County",40
1224,"Fayette County",40
1225,"Hocking County",40
1226,"Madison County",40
1227,"Marion County",40
1228,"Logan County",40
1229,"Morrow County",40
1230,"Wyandot County",40
1231,"Hardin County",40
1232,"Wood County",40
1233,"Sandusky County",40
1234,"Ottawa County",40
1235,"Lucas County",40
1236,"Erie County",40
1237,"Williams County",40
1238,"Fulton County",40
